account,postdate,tweet,link,replysource,platform,has_parent_context,context_text,sentiment_label,sentiment_score,week
Bao Chenx,2025-08-29 14:20:00+00:00,"Sumpah  ,udah puluhan anak yg gua bantu nanganin campak.. Dulu sebelum gua tau penyembuhan alami aja, gua kasih herbal China namanya ""MAPO""  pada sembuh..Apalagi sekarang, makin gua anggap cetek lah.… Lihat selengkapnya",https://web.facebook.com/photo/?fbid=757232593738471&set=a.101256392669431,,facebook,False,"Sumpah  ,udah puluhan anak yg gua bantu nanganin campak.. Dulu sebelum gua tau penyembuhan alami aja, gua kasih herbal China namanya ""MAPO""  pada sembuh..Apalagi sekarang, makin gua anggap cetek lah.… Lihat selengkapnya",neutral,0.4665635824203491,2025-08-25
Neng Cintha,2026-05-13 14:48:00+00:00,Efek Campak Separah ini Ada yang sama kah? Bisa hilangkan ini belangnya?#fyp #campak,https://web.facebook.com/cintaofficial1212/posts/pfbid0eGCKu3qjJ9TBhE9d7NXSAZxUH5bTn1KeTcDjsgACNFYBAqyFTKzvhzyznGddGCJ4l,,facebook,False,Efek Campak Separah ini Ada yang sama kah? Bisa hilangkan ini belangnya?#fyp #campak,negative,0.9947623610496521,2026-05-11
Ambarwati,2026-03-27 20:22:00+00:00,"Setelah covid19 terbitlah propaganda campak,sprti batuk pilek sj ini mah mdh utk disembuhkan,yaa krn agendanya,1.kembalikan otak ke RS,sbg pasien abadi.… Lihat selengkapnya",https://web.facebook.com/photo/?fbid=1402554171900999&set=a.356653129824447,,facebook,False,"Setelah covid19 terbitlah propaganda campak,sprti batuk pilek sj ini mah mdh utk disembuhkan,yaa krn agendanya,1.kembalikan otak ke RS,sbg pasien abadi.… Lihat selengkapnya",neutral,0.9388732314109802,2026-03-23
Fevi Yuriandika,2026-03-09 10:24:00+00:00,"Demam gak sembuh2 dah 5 hari, baru keluar bintik2, rupa nya kena campak,, Jadi cerita nya pasien ini memang belum di vaksin campak, dah 5 hari demam gak turun2 panas nya, ortu nya mulai cemas, khawatir, dan takut anak nya kena sakit dbd dll,, Rupa nya di hari ke 5 keluar lah biang kerok nya, ruam2 merah, ciri khas campak,, Kenapa campak yang dlu jarang bisa muncul kembali dan mewabah? Karna memang herd immunity  tidak terbentuk, di karenakan banyak nya balita yang tidak di imunisasi,, sehingga memberikan ruang yang sangat besar bagi virus campak berkembang dan menyerang anak2,, maka nya jaman dlu itu di ciptakan vaksin campak agar orng2 bisa di vaksin dan terhindar dari virus campak yang mematikan itu.. Nah buat yang sudah terlanjur gak vaksin dan Buat semua bunda2 yang punya anak balita,, Tunda dlu bawa anak ke keramaian ya,, Rutin kasi vitamin D biar daya tahan tubuh nya kuat, dan gak gampang sakit,, Berikut tips2 agar terhindar dari campak :1. Rajin cuci tangan2. Jgn kontak dengan orng yg terkena campak3. Lengkapi imunisasi dasar4. Jika demam segera bawa berobat#Semuaorang#jangkauanluas#fyp",https://web.facebook.com/klinik.yuriandika/posts/pfbid0aCC9f5rm64dMuFfYWK8TSqUZdsWL6SHrr8sPpLFLzFxZqs4t4TqppqaGFHiFkT8Zl,,facebook,False,"Demam gak sembuh2 dah 5 hari, baru keluar bintik2, rupa nya kena campak,, Jadi cerita nya pasien ini memang belum di vaksin campak, dah 5 hari demam gak turun2 panas nya, ortu nya mulai cemas, khawatir, dan takut anak nya kena sakit dbd dll,, Rupa nya di hari ke 5 keluar lah biang kerok nya, ruam2 merah, ciri khas campak,, Kenapa campak yang dlu jarang bisa muncul kembali dan mewabah? Karna memang herd immunity  tidak terbentuk, di karenakan banyak nya balita yang tidak di imunisasi,, sehingga memberikan ruang yang sangat besar bagi virus campak berkembang dan menyerang anak2,, maka nya jaman dlu itu di ciptakan vaksin campak agar orng2 bisa di vaksin dan terhindar dari virus campak yang mematikan itu.. Nah buat yang sudah terlanjur gak vaksin dan Buat semua bunda2 yang punya anak balita,, Tunda dlu bawa anak ke keramaian ya,, Rutin kasi vitamin D biar daya tahan tubuh nya kuat, dan gak gampang sakit,, Berikut tips2 agar terhindar dari campak :1. Rajin cuci tangan2. Jgn kontak dengan orng yg terkena campak3. Lengkapi imunisasi dasar4. Jika demam segera bawa berobat#Semuaorang#jangkauanluas#fyp",negative,0.9132146239280701,2026-03-09
Nourma,2026-03-13 02:01:00+00:00,Ternyata campak bukan hanya menyer4ng bayi tapi orang dewasa juga,https://web.facebook.com/photo/?fbid=26377372158567061&set=pcb.26377373695233574,,facebook,False,Ternyata campak bukan hanya menyer4ng bayi tapi orang dewasa juga,neutral,0.5966551899909973,2026-03-09
Nurlaela,2026-06-04 10:09:00+00:00,"maaf mau nanya, imunisasi campak bikin anak demam nggak ya?, trs bates waktu nya sampe berapa bulan?",https://web.facebook.com/photo/?fbid=2055728002493348&set=gm.1346931257505036&idorvanity=759878459543655,,facebook,False,"maaf mau nanya, imunisasi campak bikin anak demam nggak ya?, trs bates waktu nya sampe berapa bulan?",negative,0.805338978767395,2026-06-01
Sukma,2026-07-10 13:27:00+00:00,"Tanggal 4 juli kemarin anak ku suntik campak,trs DSA nya bilang gak bakalan demam,trs gak dikasih obat apa"" juga tapi bayar 30 RB..singkat cerita 2 hari setelah suntik mr anak demam trs udh turun demam dan seluruh badanya keluar merah"" kayak gini,kira"" bahaya atau bagus yah KLO merah,"" ditubuh nya keluar,ada yng bilang panas dlm dia,kira""anak bunda"" ada yang sama gakbund,trs mau tau dikasih apa ya supaya gak rewel trs anaknya",https://web.facebook.com/photo/?fbid=1068219902440117&set=gm.1055193537514060&idorvanity=499529556413797,,facebook,False,"Tanggal 4 juli kemarin anak ku suntik campak,trs DSA nya bilang gak bakalan demam,trs gak dikasih obat apa"" juga tapi bayar 30 RB..singkat cerita 2 hari setelah suntik mr anak demam trs udh turun demam dan seluruh badanya keluar merah"" kayak gini,kira"" bahaya atau bagus yah KLO merah,"" ditubuh nya keluar,ada yng bilang panas dlm dia,kira""anak bunda"" ada yang sama gakbund,trs mau tau dikasih apa ya supaya gak rewel trs anaknya",negative,0.9779331684112549,2026-07-06
Pakdhe Indro,2025-09-17 14:04:00+00:00,"CAMPAK BIASA BUKAN LUAR BIASACampak bahasa Jawanya Gabagen.Campak diakibatkan oleh Morbilivirus.Kakek & nenek kita semua mengalami & sembuh sendiri dalam 2 minggu, makanya disebut SELF LIMITING DISEASE.Awalnya anak demam, batuk 4 hari, kemudian muncul ruam (4-7 hari), saat muncul ruam merupakan tanda SISTEM KEKEBALAN TUBUH BEKERJA melawan virus.Yang diperlukan saat anak kena campak adalah :1. Istirahat : agar energi efektif utk kerja sistem kekebalan2. Makan cukup : untuk energi produksi makrofag3. Minum : mencegah dehidrasi 4. Vitamin A C E & antioksidan : utk menjaga hati & produksi plasma albumin + sel-sel kekebalanPengenalan campak cukup sekali saja & bisa lewat infeksi alami.Setelah sembuh tubuh manusia akan kenal SEUMUR HIDUP terhadap morbilivirus campak & jika kena lagi KAPANPUN selalu akan sembuh lebih cepat.Campak / Gabagen penyakit biasa & BUKAN KLB (Kejadian Luar Biasa).Semua rakyat yg faham & belajar BISA MENGATASI sejak zaman dahulu tanpa perlu takut & panik.Pakdhe Indro.17 September 2025",https://web.facebook.com/chooni.romadhony.1/posts/pfbid02C22Nu3SpFFbCWo3wNcLWMQwAZkWnRHdkbhGGztqy5XF8cU2Kijmvyn3wP6Lz8HSSl,,facebook,False,"CAMPAK BIASA BUKAN LUAR BIASACampak bahasa Jawanya Gabagen.Campak diakibatkan oleh Morbilivirus.Kakek & nenek kita semua mengalami & sembuh sendiri dalam 2 minggu, makanya disebut SELF LIMITING DISEASE.Awalnya anak demam, batuk 4 hari, kemudian muncul ruam (4-7 hari), saat muncul ruam merupakan tanda SISTEM KEKEBALAN TUBUH BEKERJA melawan virus.Yang diperlukan saat anak kena campak adalah :1. Istirahat : agar energi efektif utk kerja sistem kekebalan2. Makan cukup : untuk energi produksi makrofag3. Minum : mencegah dehidrasi 4. Vitamin A C E & antioksidan : utk menjaga hati & produksi plasma albumin + sel-sel kekebalanPengenalan campak cukup sekali saja & bisa lewat infeksi alami.Setelah sembuh tubuh manusia akan kenal SEUMUR HIDUP terhadap morbilivirus campak & jika kena lagi KAPANPUN selalu akan sembuh lebih cepat.Campak / Gabagen penyakit biasa & BUKAN KLB (Kejadian Luar Biasa).Semua rakyat yg faham & belajar BISA MENGATASI sejak zaman dahulu tanpa perlu takut & panik.Pakdhe Indro.17 September 2025",negative,0.583251953125,2025-09-15
Dwi Irmaya Sari,2026-03-08 09:09:00+00:00,"Kisah ku tobat jdi antivaksin. Awalny Saya anti vaksin. Krn bca artikel2 para anti vaksin sbagai seorang ibu baru saya was was  yg pling ganjel d hati it masalah kehalalan vaksin, tp anak saya dpt vaksin lngkp kecuali campak krn ayah saya pro vaksi dan beliau lumayan otoriter jd syaa kan segan sama beliau jd mau g mau ya anak saya di vaksin, sampek usia ke 9 bln dan waktu my posyandu  saya cari cara ngajak anak saya jln2 biar g vaksin campak,  singkat cerita anak saya sdah usia 1,5 thun  terkena campak ruam ny sangat bnyak menutupi seluruh bagian tubuh ny deman ny jg tinggi jgn kan buat gerak dy ngomong ajj kyk yg g bsa buat melek ajj kyk g ada tenaga nyesek lah klw inget it,, dsini saya masih blom sadar klw anak saya sakit campak bkn krn saya g kasih dy vaksin campak saya masih brfikir qodratullah emg waktu ny dy sakit kan, lah trs ada tetangga dan anak ny yg jengguk anak saya,  2 hr  stlh jenguk Zidna anak tetangga syaa sakit campak jg tp dy di vaksin dan saya liat perbedaaany antara yg di vaksin dan enggak sma sama kena campak tp g se parah anak saya di situ saya mulai open minset tntg vaksin saya minta nasehat tmn2 dokter jg saya di kasih pencerahan masalah kehalalan vaksin. Dan fix saya insya allah tobat jd antivaksin ,,vaksin adlh hak anak anak yg hrs orang tua berikan sebagai salah satu ikhtiar mnjga anak anak kita dr virus penyakit#KLBcampak #imunisasi",https://web.facebook.com/irma.peanuts/posts/pfbid02fAcgB7DPUqj5wqWjrMB6HzPPUL1iuo9iwUEFaCNPeg21btjimJAtSb36bVNHRi3hl,,facebook,False,"Kisah ku tobat jdi antivaksin. Awalny Saya anti vaksin. Krn bca artikel2 para anti vaksin sbagai seorang ibu baru saya was was  yg pling ganjel d hati it masalah kehalalan vaksin, tp anak saya dpt vaksin lngkp kecuali campak krn ayah saya pro vaksi dan beliau lumayan otoriter jd syaa kan segan sama beliau jd mau g mau ya anak saya di vaksin, sampek usia ke 9 bln dan waktu my posyandu  saya cari cara ngajak anak saya jln2 biar g vaksin campak,  singkat cerita anak saya sdah usia 1,5 thun  terkena campak ruam ny sangat bnyak menutupi seluruh bagian tubuh ny deman ny jg tinggi jgn kan buat gerak dy ngomong ajj kyk yg g bsa buat melek ajj kyk g ada tenaga nyesek lah klw inget it,, dsini saya masih blom sadar klw anak saya sakit campak bkn krn saya g kasih dy vaksin campak saya masih brfikir qodratullah emg waktu ny dy sakit kan, lah trs ada tetangga dan anak ny yg jengguk anak saya,  2 hr  stlh jenguk Zidna anak tetangga syaa sakit campak jg tp dy di vaksin dan saya liat perbedaaany antara yg di vaksin dan enggak sma sama kena campak tp g se parah anak saya di situ saya mulai open minset tntg vaksin saya minta nasehat tmn2 dokter jg saya di kasih pencerahan masalah kehalalan vaksin. Dan fix saya insya allah tobat jd antivaksin ,,vaksin adlh hak anak anak yg hrs orang tua berikan sebagai salah satu ikhtiar mnjga anak anak kita dr virus penyakit#KLBcampak #imunisasi",negative,0.939727246761322,2026-03-02
Daris Munandar,2026-03-04 10:24:00+00:00,"Campak gak habis habis euy ngeri mulai nyerang anak sd biasanya anak di bawah 5 tahun kalau campak itu rata rata ,hati hati ya bunda bunda segera bawa ke faskes kalau ada yang mengalami kenapa karena campak ini menular",https://web.facebook.com/darissirad666/posts/pfbid0Lp364ixVAYyL6XWnsVNL4HS8hCDpc3y9vhZVLMHzgYvcFvoWMyiLXWQ2G68PwSEhl,,facebook,False,"Campak gak habis habis euy ngeri mulai nyerang anak sd biasanya anak di bawah 5 tahun kalau campak itu rata rata ,hati hati ya bunda bunda segera bawa ke faskes kalau ada yang mengalami kenapa karena campak ini menular",negative,0.9208388328552246,2026-03-02
