index,account,page,postdate,tweet,link,comments,retweets,likes,views,replysource
1,"Diskusi dan Sharing Seputar Bayi","","unknown","Vaksin campak sama ipv itu d suntikny memang 1x kah? Aku searching d google dan liat VT org2 ko 2x ya bun paha kanan kiri Aku kecolongan bun, anaku waktu usia 9bln imunisasi tulisan dokter campak+ipv.. Tapi perawatnya cuma suntik 1x campak saja aku ingt betul, d bagian tulisan imunisasi jga cuma tulis campak. Kebetulan buku KIA yg lama, jd ipv ny gak ada kolomny Stelah d konfirmasi ke terkait.. Mereka malah bilang sudah 1paket Lihat Lebih Sedikit Vaksin campak sama ipv itu d suntikny memang 1x kah? Aku searching d google dan liat VT org2 ko 2x ya bun paha kanan kiri Aku kecolongan bun, anaku waktu usia 9bln imunisasi tulisan dokter campak+ipv.. Tapi perawatnya cuma suntik 1x campak saja aku ingt betul, d bagian tulisan imunisasi jga cuma tulis campak. Kebetulan buku KIA yg lama, jd ipv ny gak ada kolomny Stelah d konfirmasi ke terkait.. Mereka malah bilang sudah 1paket Lihat Lebih Sedikit","https://www.facebook.com/groups/759878459543655/",0,0,0,-1,"NaN"
2,"Diskusi dan Sharing Seputar Bayi","","unknown","Mau tanya bunda2 vaksin campak itu bikin demam ap tidak?Mau tanya bunda2 vaksin campak itu bikin demam ap tidak?","https://www.facebook.com/groups/759878459543655/",0,0,0,-1,"NaN"
3,"Diskusi dan Sharing Seputar Bayi","","unknown","Lagi banyak bahas nolak vaksin, alhamdulillah anak aku uda sampai campak. Penting bismillahirrahmanirrahim ajaLagi banyak bahas nolak vaksin, alhamdulillah anak aku uda sampai campak. Penting bismillahirrahmanirrahim aja","https://www.facebook.com/groups/759878459543655/",0,0,0,-1,"NaN"
4,"Diskusi dan Sharing Seputar Bayi","","unknown","Mau nanya ke bunda2 yang cantik dan baik hati yang anak nya sudah vaksin campak anak nya demam ga bun bekas suntikan nya sakit ga bun tolong di bantu sekilas info nya ya bun maklum anak saya bulan depan mau vaksin campak","https://www.facebook.com/groups/759878459543655/",0,0,0,-1,"NaN"
5,"SENSASI DUNIA MAYA","","unknown","Dulu waktu masih kecil pernah di vaksin CAMPAKTapi giliran udah gede masih aja di CAMPAKanDulu waktu masih kecil pernah di vaksin CAMPAKTapi giliran udah gede masih aja di CAMPAKan","https://www.facebook.com/groups/1349434769246694/",17,0,0,-1,"NaN"
6,"Diskusi dan Sharing Seputar Bayi","","unknown","Assalamualaikum.... Adakah bunda² anak nya yg belum vaksin campak tapi sudah terpapar, bagi pengalamannya dan cara pencegahannya bunda², anakku umur nya 8bln bulan depan baru mau imunisasi campak. Sekarang lagi terpapar virus tersebut#shering #Campak Assalamualaikum.... Adakah bunda² anak nya yg belum vaksin campak tapi sudah terpapar, bagi pengalamannya dan cara pencegahannya bunda², anakku umur nya 8bln bulan depan baru mau imunisasi campak. Sekarang lagi terpapar virus tersebut #shering #Campak","https://www.facebook.com/groups/759878459543655/",0,0,0,-1,"NaN"
7,"Diskusi dan Sharing Seputar Bayi","","unknown","Demam setelah vaksin campak‑rubela memang sering terjadi karena tubuh sedang merespon vaksin. Berikut beberapa langkah yang dapat Anda lakukan untuk membantu anak tetap nyaman sekaligus memantau keadaannya:1. *Pastikan anak cukup istirahat*Beri ia waktu untuk tidur dan hindari aktivitas yang terlalu berat.…  Demam setelah vaksin campak‑rubela memang sering terjadi karena tubuh sedang merespon vaksin. Berikut beberapa langkah yang dapat Anda lakukan untuk membantu anak tetap nyaman sekaligus memantau keadaannya: 1. *Pastikan anak cukup istirahat* Beri ia waktu untuk tidur dan hindari aktivitas yang terlalu berat.…","https://www.facebook.com/groups/759878459543655/",0,0,0,-1,"NaN"
8,"Diskusi dan Sharing Seputar Bayi","","unknown","Ngerasa bersalah banget anakku yang pertama pas 9 bulan ga imunisasi campak . karna dlu anak nya kalo pas mau imunisasi pasti aja lagi sakit kalo ga batuk pilek akhirnya malah jadi mundur terus imunisasi nya . Dan sampai akhirnya aku abai sampe ga imunisasi yang campak 9 bulan itu karna udah kelewat berbulan bulan dari jadwal nya . Di beranda ku lagi banyak banget bersliweran penyakit campak yang fatal akibat nya kalo sebelumnya ga di vaksin campak . Malah makin bikin worry dan ngerasa bersalah banget banget ,Sekarang anak nya udah 3 tahun lebih , bunda bunda apakah masih bisa susulan kah kalo imunisasi campak ? Lihat Lebih Sedikit","https://www.facebook.com/groups/759878459543655/",0,0,0,-1,"NaN"
9,"Nur'aini Aini","","unknown","padahal pas waktu kecil sudah di vaksin campakkok pas udah besar masih di campakan semua orangpadahal pas waktu kecil sudah di vaksin campakkok pas udah besar masih di campakan semua orang","https://www.facebook.com/groups/1544448512513338/",0,0,0,-1,"NaN"
10,"Diskusi dan Sharing Seputar Bayi","","unknown","Bu ibu, mohon sekarang hati-hati sekali, karna sekarang kasus sakit campak semakin tinggi, terutama pada bayi, mohon pengertiannya agar tidak menyentuh, dan mencium bay…","https://www.facebook.com/groups/759878459543655/",0,0,0,-1,"NaN"
