account,postdate,tweet,link,topic_tag,comments,retweets,likes,shares,replysource,platform,views
ayukhoerunnisaistiqomah,2025-10-06 01:45:39+00:00,"Boleh nangis kan? Sudah 3 hari aku nemenin anakku di ruang isolasi karna campak.  Campaknya sudah komplikasi ke paru, berharap besok pulang tapi ternyata dokter bilang kemungkinan masih lama. YaAllah... rasanya lelah banget😭😭  Translate 1/2 Boleh nangis kan? Sudah 3 hari aku nemenin anakku di ruang isolasi karna campak.  Campaknya sudah komplikasi ke paru, berharap besok pulang tapi ternyata dokter bilang kemungkinan masih lama. YaAllah... rasanya lelah banget😭😭",https://www.threads.com/@ayukhoerunnisaistiqomah/post/DPcygQ1E0OE,,67,0,1400,0.0,,threads,
ceritatika25,2025-12-15 04:37:46+00:00,"Anakku panas naik turun udh 4hari Aku bawa ke puskesmas sabtu kemarin dan hasil labnya kemungkinan campak, Tapi sampe hari ini masih demam, paracetamolnya sampe udh habis blm juga turun. Wajar ga sih kalo campak apa panasnya berhari2 gini? 🥲 Aku mau bawa lagi ajaaa ga tega liatnya 1/2 Anakku panas naik turun udh 4hari Aku bawa ke puskesmas sabtu kemarin dan hasil labnya kemungkinan campak, Tapi sampe hari ini masih demam, paracetamolnya sampe udh habis blm juga turun. Wajar ga sih kalo campak apa panasnya berhari2 gini? 🥲 Aku mau bawa lagi ajaaa ga tega liatnya",https://www.threads.com/@ceritatika25/post/DSRV2F6j6O6,,0,0,0,0.0,,threads,
trecyhs,2025-04-23 09:51:22+00:00,Disini ada ga yang pasien campak guys? Trs ada gak yang sembuh nya tuh luamaaa dehhhh sakit2 persendiannya. Butuh bgt pencerahannya nih. Mau berobat lg mager bgt. Konon ktnya ini akan sembuh sendiri. Obatnya cm vitamin. Disini ada ga yang pasien campak guys? Trs ada gak yang sembuh nya tuh luamaaa dehhhh sakit2 persendiannya. Butuh bgt pencerahannya nih. Mau berobat lg mager bgt. Konon ktnya ini akan sembuh sendiri. Obatnya cm vitamin. Ini foto pas kmrn lg sakitt campak. Cerita detailsnya ada di thread ak sebelumnya. Boleh dibaca guys. Barangkali ada yg sama. Bisa sharing2🙏🥺  Translate Ini foto pas kmrn lg sakitt campak. Cerita detailsnya ada di thread ak sebelumnya. Boleh dibaca guys. Barangkali ada yg sama. Bisa sharing2🙏🥺,https://www.threads.com/@trecyhs/post/DIyOIeJy7SC,,0,0,0,0.0,,threads,
nabidz_biotech,2025-11-11 14:18:44+00:00,"Semua anakku dapat jatah kena campak..  Alhamdulillah udah lewat fase inkubasi virusnya Strain 4800 langsung ku naikkan 5800 fase 24 jam langsung virusnya layu. Semua anakku dapat jatah kena campak..  Alhamdulillah udah lewat fase inkubasi virusnya Strain 4800 langsung ku naikkan 5800 fase 24 jam langsung virusnya layu. Konsep kerja probiotik memperbaiki pencernaan 12-24 jam apabila ada strain bukan probiotik level preventif seperti yoghurt , yakult dll ga bisa untuk represif. Konsep kerja probiotik memperbaiki pencernaan 12-24 jam apabila ada strain bukan probiotik level preventif seperti yoghurt , yakult dll ga bisa untuk represif. Selama virus patogen dll masih bisa ku handle tanpa obat obatan kimia. Kecuali malaikat izroil yg datang saya ga bisa berbuat apa2. XD  Translate Selama virus patogen dll masih bisa ku handle tanpa obat obatan kimia. Kecuali malaikat izroil yg datang saya ga bisa berbuat apa2. XD",https://www.threads.com/@nabidz_biotech/post/DQ61TgpEkPa,,0,0,0,0.0,,threads,
halodoc,2025-11-30 10:26:58+00:00,"halodocVerified 🚨 BREAKING NEWS: KASUS CAMPAK MELONJAK, BAYI & ANAK PALING TERDAMPAK! 🚨 BREAKING NEWS: KASUS CAMPAK MELONJAK, BAYI & ANAK PALING TERDAMPAK! Kasus campak kembali meningkat dan penularannya sangat cepat, terutama pada bayi dan anak yang belum mendapat vaksin. Virus campak ini bisa bertahan hingga 2 jam di udara sehingga campak termasuk salah satu penyakit paling menular.  Translate 1/3 Kasus campak kembali meningkat dan penularannya sangat cepat, terutama pada bayi dan anak yang belum mendapat vaksin. Virus campak ini bisa bertahan hingga 2 jam di udara sehingga campak termasuk salah satu penyakit paling menular.",https://www.threads.com/@halodoc/post/DRrV4odkntc,,0,0,0,0.0,,threads,
dr.kartikaeda.sp.a,2025-11-24 16:22:55+00:00,"dr.kartikaeda.sp.aVerified 9 tahun jd dokter, 3 tahun jadi dokter anak, ga pernah nemu kasus campak sebanyak ini.. 🤢🤢 Dan parahnya banyak juga pasien campak saya masih bayi2 ( 5-6 bulan), yang memang belum waktunya vaksin (vaksin pertama umur 9 bulan). Sudah pasti, otomatis, mereka kelompok usia yang paling rentan tertular. 9 tahun jd dokter, 3 tahun jadi dokter anak, ga pernah nemu kasus campak sebanyak ini.. 🤢🤢 Dan parahnya banyak juga pasien campak saya masih bayi2 ( 5-6 bulan), yang memang belum waktunya vaksin (vaksin pertama umur 9 bulan). Sudah pasti, otomatis, mereka kelompok usia yang paling rentan tertular. Dan tau kah teman2, bayi yang kena campak, risiko fatalnya jauh lebih tinggi daripada anak yg lebih besar?  Translate 1/2 Dan tau kah teman2, bayi yang kena campak, risiko fatalnya jauh lebih tinggi daripada anak yg lebih besar?",https://www.threads.com/@dr.kartikaeda.sp.a/post/DRch2ZLknBR,,281,0,1900,0.0,,threads,
jemappellemita,2025-12-20 22:14:44+00:00,"CAMPAK + PNEUMONIA Ketakutan terbesar sebagai ibu.  Hai Threads, aku mau berbagi cerita buat para Buibu tentang kisah perjuangan toodler mungilku yang berjuang lawan Campak dan Pneumonia.  Awal bulan November dia udah demam naik turun selama seminggu (dan ini kita udah bawa ke DSA dan udah dikasih obat juga),lalu beberapa hari kemudian obat itu udah kaya ga mempan  Translate 1/8 CAMPAK + PNEUMONIA Ketakutan terbesar sebagai ibu.  Hai Threads, aku mau berbagi cerita buat para Buibu tentang kisah perjuangan toodler mungilku yang berjuang lawan Campak dan Pneumonia.  Awal bulan November dia udah demam naik turun selama seminggu (dan ini kita udah bawa ke DSA dan udah dikasih obat juga),lalu beberapa hari kemudian obat itu udah kaya ga mempan",https://www.threads.com/@jemappellemita/post/DSgGx6DE7KJ,pneumonia,0,0,0,0.0,,threads,
dr.maiza,2025-10-26 11:17:07+00:00,"dr.maizaVerified Prevention is better than cure 💉 Vaksin penting untuk Wanita : ✨️ Kanser pangkal rahim = Vaksin HPV (sebelum hamil) ✨️ Sindrom rubella kongenital = Vaksin Rubella	MMR (sebelum hamil) ✨️ Hepatitis B = Vaksin Hepatitis B	(sebelum hamil) ✨️ Influenza = Vaksin 	Influenza (sebelum/ ketika hamil) ✨️ Tetanus,  Diphtheria, Pertussis = 	Vaksin Tdap (kehamilan minggu 27–36)	 ✨️ Respiratory Syncytial Virus = Vaksin RSV (kehamilan minggu 32) ✨️ Varicella (Cacar air)	= Vaksin Varicella (sebelum hamil) Prevention is better than cure 💉 Vaksin penting untuk Wanita : ✨️ Kanser pangkal rahim = Vaksin HPV (sebelum hamil) ✨️ Sindrom rubella kongenital = Vaksin Rubella	MMR (sebelum hamil) ✨️ Hepatitis B = Vaksin Hepatitis B	(sebelum hamil) ✨️ Influenza = Vaksin 	Influenza (sebelum/ ketika hamil) ✨️ Tetanus,  Diphtheria, Pertussis = 	Vaksin Tdap (kehamilan minggu 27–36)	 ✨️ Respiratory Syncytial Virus = Vaksin RSV (kehamilan minggu 32) ✨️ Varicella (Cacar air)	= Vaksin Varicella (sebelum hamil)",https://www.threads.com/@dr.maiza/post/DQRTzQaklbO,,0,0,0,0.0,,threads,
syd_reads50,2025-03-07 21:05:54+00:00,"My son (12 months old) got the first dose of the MMR (mumps, measles, and rubella) vaccine today. Why, you ask? Oh, because vaccines save lives and I don’t want my child to die 🙃 *all anti-vaxxers who dare to comment will be blocked* My son (12 months old) got the first dose of the MMR (mumps, measles, and rubella) vaccine today. Why, you ask? Oh, because vaccines save lives and I don’t want my child to die 🙃 *all anti-vaxxers who dare to comment will be blocked*",https://www.threads.com/@syd_reads50/post/DG6Z91khVWp,,1300,0,23800,0.0,,threads,
busy_witchy_mama,2025-03-01 21:58:23+00:00,"The MMR vaccine almost killed my brother. He's extremely allergic to it. He is not protected from measles, mumps, and rubella. The MMR vaccine almost killed my brother. He's extremely allergic to it. He is not protected from measles, mumps, and rubella. As nervous as I get every time, my children have had their MMR shots. Why? Because they're not deathly allergic, and vaccinating my kids protects people like my brother who can't be. As nervous as I get every time, my children have had their MMR shots. Why? Because they're not deathly allergic, and vaccinating my kids protects people like my brother who can't be. Now I have a 3 month old who's too young for the shot. We live in North Texas. I am angry and scared for him. Measles in West Texas, rubella in Austin. It doesn't have to be this way. Now I have a 3 month old who's too young for the shot. We live in North Texas. I am angry and scared for him. Measles in West Texas, rubella in Austin. It doesn't have to be this way.",https://www.threads.com/@busy_witchy_mama/post/DGrDM5LyP1U,,26,0,7000,0.0,,threads,
