index,account,postdate,tweet,link,comments,retweets,likes,views,replysource
1,anakfarmasi02,2025-01-27T06:39:23.000Z,"VAKSIN CAMPAK DIBERIKAN PADA BULAN KE 9  #ANAKFARMASI02 #AF02 #UKMPPAI #UKMPPAI2025",https://x.com/anakfarmasi02/status/1883766738476827049,0,0,0,210,NaN
2,clevernonie,2025-01-20T05:53:23.000Z,"Kalo Vernon pepsos collab, gua gipewey sertifikat vaksin ama imunisasi campak, bantu ramein guys",https://x.com/clevernonie/status/1881218444319969633,0,0,0,87,NaN
3,Jumianto_RK,2025-01-18T12:10:35.000Z,"Pencegahan sejak usia di kandungan dengan memberikan makanan bergizi buat bumil, berlanjut setelah lahiran program imunisasi ke posyandu. Vaksin TT, Campak, Folio. Dan disertai pemberian makanan bergizi bagi balita.",https://x.com/Jumianto_RK/status/1880588595431714958,0,0,0,195,NaN
4,mhisbullaht,2025-01-16T09:00:59.000Z,"syukur banget gw pas kecil cmn ada persoalan vaksin campak (?), disuntik ""paksa"" pas di sekolah.",https://x.com/mhisbullaht/status/1879816104299909617,0,0,0,281,NaN
5,mario_an19,2025-01-10T13:32:38.000Z,"bodo amat   gw dari kecil dah d vaksin polio, campak, cacar, dll   ampe sekarang juga ga kenapa2 cok",https://x.com/mario_an19/status/1877710140448907578,0,0,0,75,NaN
6,AsalGombak,2025-01-10T07:58:02.000Z,"PROGRAM PEMBERIAN VAKSIN DEMAN CAMPAK PERCUMA @ KAMPUNG CHANGKAT  Tarikh : 11 Januari 2025 (Sabtu) Masa : 8 pagi - 1 tengah hari Lokasi : Dewan JPKK Kampung Changkat",https://x.com/AsalGombak/status/1877625935048094069,0,0,0,980,NaN
7,RadioTaiwan_IDN,2025-01-10T07:00:01.000Z,"Wabah Campak Kian Meluas! Vaksin Campak Kehabisan Stok? Ini Penjelasan Menteri Kesehatan di Taiwan  Selengkapnya: https://id.rti.org.tw/news/view/id/108888…",https://x.com/RadioTaiwan_IDN/status/1877611334008975727,0,0,0,37,NaN
8,kakikukaki15,2025-01-02T11:07:38.000Z,"Tahun 2024 kemarin, hanya 1X anakku pakai antibiotik. Saat campak kemarin. Loh? Loh? Loh? Koq campak pakai antibiotik? Campak kan penyebabnya virus. Bisa sembuh sendiri, apalagi vaksin MMR nya lengkap.",https://x.com/kakikukaki15/status/1874774548719280422,0,0,0,107,NaN
9,rskdsitifatimah,2025-01-02T02:36:32.000Z,"Immunization is the process of building the body's immunity against a disease. This process is carried out through the administration of vaccines, either by injection or orally. Below is the immunization service schedule at RSKDIA Siti Fatimah. ____ #imunisasi #BCG #DPT#Polio",https://x.com/rskdsitifatimah/status/1874645924540273103,0,0,0,65,NaN
10,biolahitam,2025-02-27T09:21:55.000Z,"Campak mulai muncul lagi di luar wkwkwk. Banyak yang ga vaksin.",https://x.com/biolahitam/status/1895041662080164172,0,0,0,72,NaN
11,dion_sauruss,2025-02-25T04:25:47.000Z,"Karena belum vaksin campak.",https://x.com/dion_sauruss/status/1894242365042504137,0,0,0,44,NaN
12,finochk,2025-02-25T03:59:42.000Z,"Wkwkwkwk mau vaksin berkali-kali jg umur 32 tetep kena campak",https://x.com/finochk/status/1894235799190655140,0,0,0,29,NaN
13,KemenkesRI,2025-02-24T14:40:02.000Z,"Fakta penting tentang vaksin HPV  Vaksinnya aman & terbukti efektif serta telah digunakan miliaran orang untuk melindungi dari penyakit berbahaya  Efek sampingnya pun ringan & sementara, manfaatnya mencegah komplikasi serius seperti polio, campak, difteri, & kanker leher rahim",https://x.com/KemenkesRI/status/1894034559047532594,0,0,0,801,NaN
14,Urluvvbaby,2025-02-23T17:16:16.000Z,"Walaupun udh vaksin trnyata bisa kena campak lg y pas dewasa?. Menjelang sidang kmarin ternyata ddiagnosis campak trs ruam merah & efek pemulihanny jd bikin muka super kering kek bersisik dan kaku. Tp disaranin dokter pake labore dan kaget!!! Bagus bgt mo nangis langsung sembuh",https://x.com/Urluvvbaby/status/1893711487958466655,0,0,0,242,NaN
15,moresowju,2025-02-23T12:28:45.000Z,"buat apa vaksin campak kalo pas gedhe kamu juga dicampakkan",https://x.com/moresowju/status/1893639132670316937,0,0,0,241,NaN
16,thetaintedsrrw,2025-02-22T09:02:05.000Z,"udah mulai siap2 deh soalnya stok obat dan vaksin di dinas pada kosong2.... vaksin campak sama dpt aja kosong kaya PENING efisiensi tolol ini",https://x.com/thetaintedsrrw/status/1893224731593056527,0,0,0,118,NaN
17,juyimin,2025-02-22T03:18:17.000Z,"Kalau vaksin campak udah?",https://x.com/juyimin/status/1893138213356872058,0,0,0,22,NaN
18,Chivil047,2025-02-21T11:54:09.000Z,"Per detik ini jg vaksin campak di ibukota salah satu provinsi 3T juga habissss (udah ada sebulan kali), masih mau blg ini bukan  #IndonesiaGelap ???",https://x.com/Chivil047/status/1892905649350332427,0,0,0,393,NaN
19,prajnamu,2025-02-15T15:19:08.000Z,"Ngeri banget campak di AS.  Campak sangat menular sehingga potensi satu orang bisa menularkan mencapai 90% pada orang yang dekat tanpa kekebalan. Sbnrnya sgt bs dicegah dgn vaksin, tp belakangan makin marak gerakan anti-vaksin. https://nfid.org/infectious-disease/measles/…",https://x.com/prajnamu/status/1890782907225997521,0,0,0,63,NaN
20,Voljinyy,2025-02-13T03:27:34.000Z,"Lebih miris lagi karena harusnya penyakit measles/campak ini bisa dicegah dengan VAKSIN, tapi cakupan vaksinasi menurun gara-gara para antivax bodoh nan jahat itu",https://x.com/Voljinyy/status/1889879060513431884,0,0,0,107,NaN
21,voaindonesia,2025-02-11T07:00:12.000Z,"Lima belas kasus campak — sebagian besar terjadi pada anak usia sekolah — telah dikonfirmasi di Texas Barat. Kasus-kasus itu terjadi di daerah kecil dengan salah satu tingkat pengecualian vaksin tertinggi di negara bagian tersebut.",https://x.com/voaindonesia/status/1889207793015837101,0,0,0,308,NaN
22,yamanatau_,2025-02-09T12:34:00.000Z,"Padahal pas kecil udah vaksin campak kenapa pas Udah besar masih di campakan",https://x.com/yamanatau_/status/1888567020020453488,0,0,0,176,NaN
23,rskdsitifatimah,2025-02-04T01:36:47.000Z,"Imunisasi adalah proses pembentukan kekebalan tubuh terhadap suatu penyakit. Proses ini dilakukan melalui pemberian vaksin, baik berupa suntikan ataupun minum. Berikut jadwal pelayanan imunisasi di RSKDIA Siti Fatimah. ____ #imunisasi #BCG #DPT#Polio #campak #rskdiasitifatimah",https://x.com/rskdsitifatimah/status/1886589688431173670,0,0,0,68,NaN
24,blue_berets7,2025-03-24T17:35:23.000Z,"Penelitian trsb melaporkan hasil yg dihasilkan dari analisis galur sel MRC 5, khususnya yg terkandung dalam vaksin tetravalen campak-gondong-rubella-cacar air (MMRV) milik GlaxoSmithKline.",https://x.com/blue_berets7/status/1904225547439546497,0,0,0,116,NaN
25,kecsmgutara,2025-03-24T08:13:18.000Z,"Ayo, pastikan anak-anak Anda mendapatkan vaksin campak rubela (MR) sebanyak *3 kali pada Usia 9 bulan, 18 bulan dan Kelas 1 SD/MI sederajat atau usia 7 tahun bagi anak yang tidak sekolah*   **Gejala Campak**: - Demam tinggi - Ruam merah yang mulai muncul di wajah dan tubuh",https://x.com/kecsmgutara/status/1904084094520267176,0,0,0,134,NaN
26,yazzurbae0_0,2025-03-22T09:01:15.000Z,"Vaksin campak bisa mencegah penyakit, tapi sayangnya nggak ada vaksin buat mencegah dicampakkan.",https://x.com/yazzurbae0_0/status/1903371382538531023,0,0,0,30,NaN
27,GieshaW,2025-03-20T23:17:24.000Z,"Bulan depan campak, ipv lagi, terus mau vaksin tambahan. Influenza sih yang harus duluuu",https://x.com/GieshaW/status/1902862067029381453,0,0,0,99,NaN
28,kudirukadi1,2025-03-16T14:30:26.000Z,"Waktu kecilnya mungkin ga dapat vaksin Campak …",https://x.com/kudirukadi1/status/1901279897030635998,0,0,0,12,NaN
29,catchmeupco,2025-03-11T07:07:35.000Z,"Udah dibilangin, vaksin itu penting! Tapi ternyata banyak yang tetap nolak. Sekarang campak merajalela lagi di US.",https://x.com/catchmeupco/status/1899356510393979036,0,0,0,3,NaN
30,ThatSun510,2025-03-10T00:29:40.000Z,"Apapun propagandanya, jadilah masyarakat dunia yg melek kebenaran. Kematian karena campak jauh lebih kecil daripada karena vaksin campak.  Data nyata!!! Case closed, STOP Vaksin!   @StopPlandemit @MiraninonLita",https://x.com/ThatSun510/status/1898893983700684838,0,0,0,2,NaN
31,ddonvl,2025-03-07T01:32:53.000Z,"Duh percuma dong yaa vaksin campak haha",https://x.com/ddonvl/status/1897822730306961628,0,0,0,24,NaN
32,Sisilkrispi_,2025-03-07T00:41:01.000Z,": Kenapa harus vaksin siy, ntar habis vaksin juga masih ada kemungkinan kena penyakitnya? : Waktu kecil juga lo vaksin campak, tapi pas gede di campakkan",https://x.com/Sisilkrispi_/status/1897809677330923654,0,0,0,458,NaN
33,gvuily,2025-03-05T06:11:28.000Z,"cmiiw ya setau aku yg wajib itu vaksin campak kak kalo vaksin cacar air emg beda lagi.. makanya aku vaksin cacar air juga baru pas dewasa",https://x.com/gvuily/status/1897168061289128255,0,0,0,209,NaN
