index,account,postdate,tweet,link,comments,retweets,likes,views,replysource
1,klinik.tunasharapan,2025-12-08T02:00:26.000Z,"Reaksi tubuh setelah vaksin adalah bagian dari proses membangun kekebalan. Karena itu, imunisasi yang terjadwal dan tepat sangat penting.  Di Klinik Tunas Harapan, layanan KIA, KB, dan vaksinasi tersedia untuk memastikan kesehatan ibu, anak, dan keluarga selalu terjaga.  Siap buat jadwal atau konsultasi? Klik link di bio instagram kami  —  𝐊𝐋𝐈𝐍𝐈𝐊 𝐓𝐔𝐍𝐀𝐒 𝐇𝐀𝐑𝐀𝐏𝐀𝐍  Melayani BPJS dan Umum  📍 Jl. Raya Denpasar-Bedugul, Mengwi  🏥 UGD 24 Jam (0361) 829341 —  #kliniktunasharapan #homecare #medicalcare #faskesbpjs #klinikbpjs #infobadung #cekkesehatan #klinikkesehatan #polahidupsehat #hidupsehat #kesehatankeluarga #keluargasehat #klinikbadung #klinik24jam #BPJS #Faskes #vaksincampak",https://www.instagram.com/p/DR_CRkEiB21/,0,0,6,-1,NaN
2,rsimabarrotnubungah,2025-12-16T23:50:49.000Z,"Assalamualaikum #SedulurMabarrot,  Anak sehat adalah awal keluarga hebat.   Ayah Bunda pasti ingin perlindungan maksimal untuk anak dari berbagai macam penyakit.   Kini telah hadir 6 perlindungan dalam 1 suntikan di RSI Mabarrot MWC NU Bungah.   Segera reservasi janji temu untuk konsultasi dengan dokter anak yuk 😊  Informasi dan Reservasi Hubungi : 082143046396  ____________________________  RSI Mabarrot MWC NU Bungah  📍Jl. Raya Bungah Dukun 1D, Masangan, Bungah 🌐 https://lynk.id/rsimabarrotmwcnubungah 📞 Customer Care & Pusat Informasi : 0812-3990-9455 🚑 IGD dan Persalinan 24 jam  #RSIMabarrotNUBungah #vaksinanak #vaksincampak #vaksinDSA #vaksingresik #imunisasicampak #imunisasiDSA #melayanisetulushati",https://www.instagram.com/p/DSV-mMbE7bB/,1,0,20,-1,NaN
3,ihc.rswonolangan,2025-10-21T06:16:51.000Z,"Yuk, Saatnya Lindungi Anak Anda dari Campak, Gondongan, dan Campak Jerman!  Ketiga penyakit ini dapat menyebabkan komplikasi serius seperti radang otak, gangguan pendengaran, hingga infertilitas bila tidak dicegah sejak dini.  Harga Paket: Rp 730.000,- ✅ Sudah termasuk injeksi dan konsultasi dokter  🏥 Poli Vaksin Blok C 📅 Senin – Jumat 🕢 Pukul 07.30 – 16.00 WIB  Reservasi layanan pelanggan: 📞 +62851-6104-8118 (by appointment)  #VaksinCampak #MMRII #LindungiAnakDariCampak #CegahCampakSejakDini #VaksinAnak #ImunisasiAnak #IHC #RSWonolangan #RumahSakitProbolinggo #VaksinProbolinggo #KesehatanAnak #VaksinTerpercaya #IHCGroup #VaksinBersamaIHC",https://www.instagram.com/p/DQD5dqEkf4C/,1,0,39,-1,NaN
4,kliniknandini,2025-10-09T04:06:26.000Z,"Ayah, Bunda, kasus campak naik lagi… yuk pastikan si kecil sudah imunisasi lengkap!   Campak bukan penyakit ringan — bisa sebabkan pneumonia, diare berat, dll  Pencegahan paling efektif?   Imunisasi campak atau MR (Measles-Rubella).  Jadwalnya: • Dosis 1: usia 9 bulan • Dosis 2: usia 18 bulan atau saat masuk SD  Cek buku KIA si kecil, ya, Ayah dan Bunda. Karena setiap vaksin hari ini adalah perlindungan seumur hidup untuk buah hati tercinta.   📍 Konsultasikan jadwal imunisasi di Klinik Nandini 📞 Reservasi by WhatsApp, ya!  #CegahCampak #ImunisasiAnak #KesehatanKeluarga #AyahBundaBijak #vaksincampak #vaksinmr",https://www.instagram.com/p/DPkw__HkVSD/,0,0,9,-1,NaN
5,aruljreng,2025-10-21T02:07:26.000Z,"Tips menghilangkan sakit jarum.. Teriaaaakk #VaksinCampak #jangkauanluas #MISKubang",https://www.instagram.com/p/DQDc667kquH/,0,0,0,-1,NaN
6,imsacare_medika,2025-09-20T08:17:04.000Z,"Jadwal Vaksin Campak Anak, Jangan Sampai Terlewat! Jaga kesehatan si kecil dengan memastikan jadwal imunisasinya tepat waktu. 💕 Konsultasikan sekarang di Shafa Medika!  #shafamedika #imunisasianak #vaksincampak #lindungibuahhati #kesehatananak",https://www.instagram.com/p/DO0SlGrkiwa/,0,0,5,-1,NaN
7,anita_bimby,2025-09-18T11:53:16.000Z,"#pejuangsehat #pejuangvaksin💪 #vaksincampak #latepost📸❤️@zionathan_mgk",https://www.instagram.com/p/DOvhuxFAZUd/,0,0,5,-1,NaN
8,rsabdiwaluyo,2025-11-10T04:48:04.000Z,"💉 Campak Bisa Dicegah, Lindungi Si Kecil dengan Imunisasi Lengkap!  Campak bukan sekadar ruam dan demam biasa — penyakit ini bisa menyebabkan radang paru, radang otak, hingga gangguan penglihatan bila tidak ditangani dengan baik. Kabar baiknya, imunisasi MR/MMR dapat memberikan proteksi terhadap campak dan membantu mencegah penyebarannya di masyarakat.  🧒🏻 Jadwal Imunisasi Campak: 	•	Dosis 1: usia 9 bulan 	•	Dosis 2: usia 18 bulan 	•	Booster: usia sekolah (kelas 1 SD)  Pastikan anak mendapatkan imunisasi tepat waktu agar terlindung dari campak dan komplikasinya, dan selalu konsultasikan dengan dokter sebelum vaksinasi untuk memastikan kondisi anak dalam keadaan sehat.  Lindungi masa depan anak Anda — karena satu vaksin bisa menyelamatkan banyak nyawa.  🌐 www.abdiwaluyo.com #RSAbdiWaluyo #WhereLoveHeals #campak #vaksincampak #measles #measlesvaccine",https://www.instagram.com/p/DQ3PM-3AeYh/,1,0,27,-1,NaN
9,rsudkarsahusada,2025-09-22T12:47:29.000Z,"“Ngopi Sehat” di RSUD Karsa Husada Batu✨️  Tema: Vaksin Campak Dulu, Biar Tidak Tercampakkan!  Ayo, ngobrol pintar seputar Campak bersama dokter Spesialis Anak!  *Jangan Sampai Tercampakkan* Pastikan anak Anda mendapatkan vaksin campak untuk melindungi mereka dari penyakit campak.  Tonton podcast kami dan dapatkan informasi terbaru tentang vaksin campak!  *AYO, IKUTI KAMI!* Jangan lewatkan kesempatan untuk menonton live “Ngopi Sehat”! Ikuti kami di: YouTube: @rsudkarsahusadabatu Instagram: @rsudkarsahusadabatu  #NgopiSehat #VaksinCampak #Kesehatan #RSUDKarsaHusadaBatu #Batu #PodcastKesehatan #LiveStreaming",https://www.instagram.com/p/DO57HboEhOk/,0,0,29,-1,NaN
10,epidemiologifkmui25,2025-10-29T10:59:29.000Z,"Aku sih gapapa vaksin sendiri, tapi kalo yang lain kena campak… talk to who? 😭  Vaksin itu kerja tim, bukan solo player! Makin banyak yang vaksin, makin kuat herd immunity buat cegah penyebaran 💪💉  #VaksinCampak #LindungiBersama #HerdImmunity #CegahCampak #StayHealthy",https://www.instagram.com/p/DQZAKvykgqo/,2,0,12,-1,NaN
11,klinikasy.syaafi,2025-09-26T02:43:12.000Z,"Campak sangat mudah menular, tapi bisa dicegah dengan imunisasi dan ditangani dengan tepat bila dikenali sejak dini. Segera konsultasi dengan dr. Vina Rosalina, Sp.A di Apotek Essa 2 🕐 Senin–Jum’at  Pagi : 07.00–09.00  Sore : 15.00–17.00 🕐 Sabtu  Pagi : 07.00–09.00  #KlinikAsySyaafi #ApotekEssa2 #KesehatanAnak #Campak #ImunisasiAnak #SehatBersama #imunisasicampak #vaksincampak #suntikcampak",https://www.instagram.com/p/DPDJI_Oj9ir/,0,0,2,-1,NaN
12,anita_bimby,2025-09-18T11:52:01.000Z,"#latepost📸❤️ #tungguvaksin #vaksin #vaksincampak #2025 @zionathan_mgk",https://www.instagram.com/p/DOvhlpXAWEr/,0,0,6,-1,NaN
13,melatichildrenhospital,2025-09-16T10:59:17.000Z,"Halo Sobat Melati 👋  Saat ini kasus Campak di Indonesia meningkat dan di tetapkan sebagai (KLB) Kejadian Luar Biasa. Jadi Sobat Melati harus lebih waspada nih karena penularan campak sangat cepat dan bisa menimbulkan komplikasi serius.  Lalu bagaimana sih gejala dan penanganannya yuk simak postingan diatas 🤗  #caringforkids  #klbcampak #kasuscampak #kasuscampakindonesia #vaksincampak #vaksincampakmalang #tempatvaksinmalang #kasuscampak2025 N",https://www.instagram.com/p/DOqR9tDDwKw/,1,0,14,-1,NaN
14,balaikarkes_mataram,2025-09-19T05:48:17.000Z,"Hallo semeton karkes   Campak adalah penyakit akibat infeksi virus Morbillivirus yang ditandai dengan demam, sakit tenggorokan, dan ruam di seluruh tubuh. Infeksi campak berawal dari saluran pernapasan yang kemudian menular melalui percikan air liur.  Campak bukan sekadar ruam merah biasa! Penyakit ini sangat menular dan dapat menyebabkan komplikasi serius.  Yuk, lindungi keluarga kita dari campak, dengan mengetahui penyebab campak dan solusinya. Karena mencegah selalu lebih baik daripada mengobati.  Salam sehat  #vaksincampak #indonesiasehat #lindungikeluarga #imunisasi",https://www.instagram.com/p/DOxcwdzkhW1/,0,0,19,-1,NaN
15,rsum.surya.melati,2025-11-25T08:05:43.000Z,"Waspada Campak pada Anak 👶🚨 Campak merupakan penyakit infeksi yang sangat mudah menular dan dapat menyebabkan komplikasi serius. Penting bagi orang tua untuk mengenali penyebab, cara penularan, serta gejalanya sejak awal. Pencegahan paling efektif adalah melalui imunisasi MR (Measles–Rubella) single dose, yang aman, higienis, dan direkomendasikan untuk melindungi anak dari campak sekaligus rubella. ✨ Imunisasi MR Single Dose tersedia di RSU Muhammadiyah Surya Melati. Poliklinik Spesialis Anak Senin, Selasa, Kamis dan Sabtu : Pukul 10.00 - 13.00 Rabu & Jumat : Pukul 14.30 - Selesai  Mari bersama cegah campak sedini mungkin. Sehatkan anak, kuatkan masa depan.  #Campak #WaspadaCampak #ImunisasiAnak #ImunisasiMR #KesehatanAnak #PencegahanPenyakit #RSUSuryaMelati #RumahSakitMuhammadiyah #DokterAnak #Kediri #KesehatanKeluarga #SehatBersama #vaksincampak #campakrubella #campak kediri",https://www.instagram.com/p/DReNvnvEx4_/,0,0,10,-1,NaN
16,anita_bimby,2025-09-18T11:54:53.000Z,"#pejuangsehat #pejuangvaksin #pejuangvaksin💪 #vaksincampak #latepost📸❤️ @zionathan_mgk",https://www.instagram.com/p/DOvh6oAgSdA/,0,0,3,-1,NaN
17,rsdewisri.karawang,2025-10-31T08:53:48.000Z,"📢 Jadwal Vaksin BCG & Campak di RS Dewi Sri Karawang  Ayo lindungi si kecil sejak dini dengan vaksin BCG dan Campak untuk mencegah TBC dan penyakit campak yang berbahaya. 💉👶 Kini vaksin tersedia setiap hari Rabu & Sabtu di Klinik Anak RS Dewi Sri Karawang!  🩺 Ditangani oleh Dokter Spesialis Anak Berpengalaman: ✅ dr. Arief Priambodo, Sp.A ✅ dr. Hj. RR Danis Widiastuti, Sp.A ✅ dr. Yosiana Liska, Sp.A, Mkes  🕒 Jadwal pelayanan sesuai dokter (lihat poster ya Bunda & Ayah 😉)  📍 Klinik Anak RS Dewi Sri Karawang  👨‍👩‍👧 Jangan tunda vaksin anak! Vaksinasi tepat waktu membantu menjaga kesehatan dan tumbuh kembang optimal buah hati.  📞 Pendaftaran & Informasi: WhatsApp: 081-111-6887  Butuh informasi lebih lanjut tentang layanan kesehatan kami? 🔹 Cek jadwal dokter, layanan medis, dan informasi lainnya dengan klik link di bio! 📞 Atau hubungi kami melalui: ✅ Call Center: (0267) 402855 ✅ Customer Care: 0857-7790-7723 (Chat only) ✅ Pendaftaran Pasien: 081 111 6887 (Chat only)  #VaksinAnak #BCG #Campak #ImunisasiAnak #JadwalVaksin #KlinikAnak #RSDewiSriKarawang #RSKarawang #KesehatanAnak #DokterAnakKarawang #VaksinBCG #VaksinCampak #CegahTBC #CegahCampak #KesehatanBalita #Karawang",https://www.instagram.com/p/DQd7YAiie_J/,1,0,19,-1,NaN
18,tantri_gf,2025-09-15T23:54:27.000Z,"Silahkan dibaca biar para orangtua tau paham apa sih CAMPAK dan kenapa anaknya divaksin CAMPAK 🥰 Gimana penting apa tidak ?😊 #hidupsehat #vaksincampak",https://www.instagram.com/p/DOpF4NCj7dJ/,13,0,16,-1,NaN
19,klinik_bananamedika,2025-09-20T08:18:08.000Z,"Jadwal Vaksin Campak Anak, Jangan Sampai Terlewat! Jaga kesehatan si kecil dengan memastikan jadwal imunisasinya tepat waktu.  Konsultasikan sekarang di Banana Medika!  #bananamedika amedika #imunisasianak #vaksincampak #lindungibuahhati #kesehatananak",https://www.instagram.com/p/DO0Ss4uk-VQ/,0,0,7,-1,NaN
20,layamed,2025-10-15T04:00:37.000Z,"Kini Tersedia Vaksin Campak di Klinik Utama LayaMed. Lindungi buah hati sejak dini dari risiko penyakit campak yang bisa menyerang sistem kekebalan tubuh. Vaksin ini direkomendasikan untuk anak usia 9–18 bulan 💉  ✅ Aman & sudah berizin BPOM 👶 Perlindungan optimal untuk si kecil 🏥 Tersedia di Klinik Utama LayaMed  Daftar & konsultasi sekarang juga di :  Klinik Utama LayaMed Jl. Jenderal Ahmad Yani No.20, Slawi, Tegal. Jawa Tengah. Informasi dan pendaftaran : 08123 200 300  #KlinikLayamed #Layamed #KlinikTegal #DokterSpesialisTegal #KlinikSlawi #dokterditegal #campak #imunisasi #vaksincampak #infoslawi #infotegal #vaksinditegal",https://www.instagram.com/p/DP0NGnaDxHW/,0,0,1,-1,NaN
