index,account,postdate,tweet,link,comments,retweets,likes,views,replysource
"1","KelasFilm","","YOUNG WOMAN AND THE SEAJudul Lokal: Gadis dan Lautan / Wanita Pertama Menyeberangi Selat… Lihat selengkapnya","https://web.facebook.com/reel/1828686311874154/","0","0","0","-1","NaN"
"2","Tiara","","Bunda²mau nanya dong??obat campak apa ya? yang bagus","","0","0","6","-1","NaN"
"3","Elena Bila","","Assalamualaikum bunda2 cantik , bagi pengalaman yang sudah vaksin campak sama ipv 2 .bikin panas ngga ya ?tadi di kasih Paracetamol.adek disuruh bidan minum Paracetamol tapi tanggal kadaluarsa di bulan Agustus tahun 2026, sedangkan sekarang sudah bulan juli baiknya diminumkan atau beli yg baru Bun ?terimakasih saran nya.","","0","0","10","-1","NaN"
"4","Bao Chenx","2025-08-29T14:20:00.000Z","Sumpah  ,udah puluhan anak yg gua bantu nanganin campak.. Dulu sebelum gua tau penyembuhan alami aja, gua kasih herbal China namanya ""MAPO""  pada sembuh..Apalagi sekarang, makin gua anggap cetek lah.… Lihat selengkapnya","https://web.facebook.com/photo/?fbid=757232593738471&set=a.101256392669431","196","61","477","-1","NaN"
"5","Neng Cintha","2026-05-13T14:48:00.000Z","Efek Campak Separah ini Ada yang sama kah? Bisa hilangkan ini belangnya?#fyp #campak","https://web.facebook.com/cintaofficial1212/posts/pfbid0eGCKu3qjJ9TBhE9d7NXSAZxUH5bTn1KeTcDjsgACNFYBAqyFTKzvhzyznGddGCJ4l","23","1","21","-1","NaN"
"6","#campak","","Separah ini dekk  #campak","https://web.facebook.com/photo/?fbid=1725440952145077&set=pcb.1725441232145049","0","0","0","-1","NaN"
"7","Ambarwati","2026-03-27T20:22:00.000Z","Setelah covid19 terbitlah propaganda campak,sprti batuk pilek sj ini mah mdh utk disembuhkan,yaa krn agendanya,1.kembalikan otak ke RS,sbg pasien abadi.… Lihat selengkapnya","https://web.facebook.com/photo/?fbid=1402554171900999&set=a.356653129824447","461","300","791","-1","NaN"
"8","Ambarwati","2026-03-11T09:15:00.000Z","Bukannya tambah kebalik? Kita mubahala sj pak,Mengapa gencar sekali BERMUBAHALA? ya,sbb semakin kesini merrka berbicara tanpa data tanpa logika tanpa analisa dan tanpa… Lihat selengkapnya","https://web.facebook.com/photo/?fbid=122286093410196999&set=a.122097326228196999","958","50","680","-1","NaN"
"9","Fevi Yuriandika","2026-03-09T10:24:00.000Z","Demam gak sembuh2 dah 5 hari, baru keluar bintik2, rupa nya kena campak,, Jadi cerita nya pasien ini memang belum di vaksin campak, dah 5 hari demam gak turun2 panas nya, ortu nya mulai cemas, khawatir, dan takut anak nya kena sakit dbd dll,, Rupa nya di hari ke 5 keluar lah biang kerok nya, ruam2 merah, ciri khas campak,, Kenapa campak yang dlu jarang bisa muncul kembali dan mewabah? Karna memang herd immunity  tidak terbentuk, di karenakan banyak nya balita yang tidak di imunisasi,, sehingga memberikan ruang yang sangat besar bagi virus campak berkembang dan menyerang anak2,, maka nya jaman dlu itu di ciptakan vaksin campak agar orng2 bisa di vaksin dan terhindar dari virus campak yang mematikan itu.. Nah buat yang sudah terlanjur gak vaksin dan Buat semua bunda2 yang punya anak balita,, Tunda dlu bawa anak ke keramaian ya,, Rutin kasi vitamin D biar daya tahan tubuh nya kuat, dan gak gampang sakit,, Berikut tips2 agar terhindar dari campak :1. Rajin cuci tangan2. Jgn kontak dengan orng yg terkena campak3. Lengkapi imunisasi dasar4. Jika demam segera bawa berobat#Semuaorang#jangkauanluas#fyp","https://web.facebook.com/klinik.yuriandika/posts/pfbid0aCC9f5rm64dMuFfYWK8TSqUZdsWL6SHrr8sPpLFLzFxZqs4t4TqppqaGFHiFkT8Zl","892","627","2900","-1","NaN"
"10","Adee N Nabilla","","IMUNISASI YANG 12 BULAN(sesudah campak)Bikin demam nggak bun?IMUNISASI YANG 12 BULAN(sesudah campak)Bikin demam nggak bun?","","0","0","14","-1","NaN"
