index,account,postdate,tweet,link,comments,retweets,likes,views,replysource
1,"rsjasakartini","2026-03-16T02:54:33.000Z","_*POV : Ketika pasien fisioterapi ternyata mantan sendiri.*_  Momen yang tidak terduga, tapi terapi tetap berjalan seperti biasa. Karena yang terpenting adalah membantu pasien pulih dan kembali beraktivitas dengan nyaman.  Apapun keluhannya, mulai dari nyeri punggung, cedera olahraga, pasca operasi, hingga gangguan gerak, tim kami siap membantu Anda kembali beraktivitas dengan nyaman.  *Klinik Rehabilitasi Medik & Klinik Intervensi Nyeri RS Jasa Kartini* Solusi tepat untuk mengurangi nyeri, meningkatkan fungsi tubuh, dan kualitas hidup yang lebih baik.  Yuk, konsultasikan keluhan Anda bersama dokter dan tim rehabilitasi medik kami. Karena hidup lebih nyaman dimulai dari tubuh yang sehat dan bebas nyeri.  #RSJasaKartini #RehabilitasiMedikRSJK #KlinikIntervensiNyeriRSJK #Fisioterapi #BecauseweCARE",https://www.instagram.com/p/DV7eJJbEeZb/,1,0,978,-1,NaN
2,"yournurse_15","2026-04-01T09:47:03.000Z","Se gak enak itu kah jadi perawat 😥 sampe se gak mau itu 😭  #perawat #nurse #perawatparodi #nursehumor #nursememes",https://www.instagram.com/p/DWlaOIfkb7j/,5,0,163,-1,NaN
3,"kemendukbangga_bkkbnbengkulu","2026-03-17T01:45:57.000Z","𝗕𝘂𝘁𝘂𝗵 𝗜𝗻𝗳𝗼𝗿𝗺𝗮𝘀𝗶, 𝗗𝗮𝘁𝗮, 𝗮𝘁𝗮𝘂𝗽𝘂𝗻 𝗙𝗮𝘀𝗶𝗹𝗶𝘁𝗮𝘀𝗶 𝗧𝗲𝗿𝗸𝗮𝗶𝘁 𝗟𝗮𝘆𝗮𝗻𝗮𝗻 𝗱𝗶 𝗞𝗮𝗻𝘁𝗼𝗿 𝗞𝗲𝗺𝗲𝗻𝗱𝘂𝗸𝗯𝗮𝗻𝗴𝗴𝗮/𝗕𝗞𝗞𝗕𝗡 𝗣𝗲𝗿𝘄𝗮𝗸𝗶𝗹𝗮𝗻 𝗕𝗞𝗞𝗕𝗡 𝗣𝗿𝗼𝘃𝗶𝗻𝘀𝗶 𝗕𝗲𝗻𝗴𝗸𝘂𝗹𝘂? 🤔😉  Halo #SobatKemendukbangga_BKKBNBengkulu 👋✨  Pelayanan publik yang prima adalah hak Anda. Kantor Kemendukbangga/BKKBN Perwakilan BKKBN Provinsi Bengkulu selalu terbuka bagi seluruh masyarakat yang memerlukan fasilitasi dan informasi terkait Program Bangga Kencana maupun layanan kedinasan lainnya.  Melalui standar pelayanan ini, kami siap mempermudah kebutuhan Sahabat di berbagai bidang. Dengan program yang tentunya telah terintegrasi dengan standar layanan Program Bangga Kencana dan program prioritas Kemendukbangga/BKKBN diantaranya GENTING, TAMASYA, GATI, SIDAYA dan Penyaluran MBG 3B.  Tentunya seluruh kemudahan akses dan kepastian prosedur ini merupakan wujud nyata kami sebagai ASN yang siap mengimplementasikan nilai 𝗕𝗲𝗿𝗔𝗞𝗛𝗟𝗔𝗞 (Berorientasi Pelayanan, Akuntabel, Kompeten, Harmonis, Loyal, Adaptif, dan Kolaboratif)  demi memberikan pelayanan terbaik bagi seluruh masyarakat Provinsi Bengkulu! 🤝💙  💡 𝘛𝘪𝘱𝘴: 𝘑𝘢𝘯𝘨𝘢𝘯 𝘭𝘶𝘱𝘢 𝘚𝘈𝘝𝘌 𝘱𝘰𝘴𝘵𝘪𝘯𝘨𝘢𝘯 𝘪𝘯𝘪 𝘢𝘨𝘢𝘳 𝘵𝘪𝘥𝘢𝘬 𝘭𝘶𝘱𝘢 𝘴𝘺𝘢𝘳𝘢𝘵 𝘥𝘢𝘯 𝘢𝘭𝘶𝘳𝘯𝘺𝘢 𝘴𝘢𝘢𝘵 𝘣𝘦𝘳𝘬𝘶𝘯𝘫𝘶𝘯𝘨 𝘢𝘵𝘢𝘶 𝘮𝘦𝘯𝘨𝘢𝘫𝘶𝘬𝘢𝘯 𝘭𝘢𝘺𝘢𝘯𝘢𝘯 𝘬𝘦 𝘬𝘢𝘯𝘵𝘰𝘳 𝘬𝘢𝘮𝘪.  Punya pertanyaan seputar layanan kami? Yuk, tulis di kolom komentar atau hubungi kami via WhatsApp di nomor yang tertera di Bio 😉👍🏻  Cc @prabowo  @kemendukbangga_bkkbn  @wihaji.pwh  @isyanabagoesoka  @zamhir_s  @birosdmkemendukbangga  #banggakencana #pelayanankantorbkkbnbengkulu #kemendukbangga  #pelayananpublik",https://www.instagram.com/p/DV97TlAgbj0/,7,0,25,-1,NaN
4,"patriciatjung","2026-06-03T05:26:51.000Z","🔥🔥 Asal masuk Rumah sakit bisa bikin telat treatment yang tepat 😰😰  Akhirnya karena g penasaran, kenapa 3 RS beda dengan 3 orang beda ya g sebetulnya final Diagnosis nya STROKE bisa gak ketawan Dari awal ke RS  Well karena ternyata TIDAK semua RS itu STROKE READY , so mereka hanya akan mengecek tidak sampai tuntas ( well maybe gak semua RS but ini karena pribadi baru dapet 3 case berbeda yang ternyata STROKE , tapi diagnosa tidak tidak lurus Dari awal masuk RS malah baru ketahuan 2 minggu sampai 2 tahun kemudian )  Quite curious awalnya since aku ada pengalaman pribadi Dari bokap sampe suami sendi stroke Dan Beruntungnya ketawan semua di awal even di golden period nya , Dan pas cari info RS yang stroke ready thx GOD nya dulu papa n suami masuk RS yang tepat.  Agak sedih sebetulnya karena ternyata 1 Indonesia itu RS stroke ready itu Sangat sedikit  Well aku bakal bedah detailnya lagi di next post   #PatriciaTjung #StrokeAwareness #kesehatan #LiterasiDigital #literasikesehatan",https://www.instagram.com/p/DZETBpYuimy/,4,0,241,-1,NaN
5,"rsunpad","2026-06-12T08:21:34.000Z","Hai, Sobat RS Unpad! Mau pindah faskes BPJS Kesehatan supaya lebih dekat dan praktis? Tenang, prosesnya mudah dan bisa kamu lakukan langsung dari rumah! 🗒️  Geser ke kanan untuk tahu langkah-langkahnya, yuk!  #BPJSKesehatan #PindahFaskes #RumahSakitUnpad  ———————————— Rumah Sakit Universitas Padjadjaran Jl. Ir. Soekarno Km. 21 Jatinangor, Sumedang 45363 WhatsApp Call Center: ‪‪+62 823-2332-0004‬‬ Saran dan Keluhan:  https://bit.ly/SarandanKeluhanRSUnpad ———————————— Instagram: @rsunpad TikTok: @rsunpad Twitter: @rsunpad",https://www.instagram.com/p/DZeo63qRj2y/,11,0,128,-1,NaN
6,"pkmpondokgede","2026-06-12T16:04:57.000Z","📢🏥 Informasi Jadwal Pelayanan UPTD Puskesmas Pondokgede 🏥📢  Untuk memberikan pelayanan kesehatan yang optimal, berikut kami informasikan jadwal pelayanan UPTD Puskesmas Pondokgede agar masyarakat dapat merencanakan kunjungan dengan lebih mudah dan nyaman.  🕒 Jam Operasional 📅 Senin–Kamis : 07.00 – 14.30 WIB 📅 Jumat : 07.00 – 14.00 WIB 📅 Sabtu : 07.30 – 14.00 WIB  📝 Jam Pendaftaran 📅 Senin–Kamis : 07.30 – 13.30 WIB 📅 Jumat : 07.30 – 13.30 WIB 📅 Sabtu : 08.00 – 13.30 WIB  ☕ Jam Istirahat 📅 Senin–Kamis : 12.00 – 13.00 WIB 📅 Jumat : 11.45 – 12.45 WIB 📅 Sabtu : 12.00 – 13.00 WIB  📌 Pelayanan tutup pada Hari Minggu, Hari Libur Nasional, dan Cuti Bersama, kecuali pelayanan kegawatdaruratan sesuai ketentuan yang berlaku.  💡 Untuk menghemat waktu tunggu, bagi peserta JKN/BPJS Kesehatan, jangan lupa melakukan pendaftaran melalui aplikasi Mobile JKN sebelum datang ke Puskesmas.  🤝 Terima kasih atas kepercayaan masyarakat kepada UPTD Puskesmas Pondokgede. Kami berkomitmen memberikan pelayanan kesehatan yang profesional, ramah, cepat, dan berkualitas.  #kotabekasi #kotabekasikeren #kotapatriot #dinkeskotabekasi #puskesmaspondokgede @mastriadhianto  @harris.bobihoe  @satriasriwijayanti @hadi_prabowo84  @dinkeskotabekasi  @promkeskotabekasi",https://www.instagram.com/p/DZfeqqRBkTJ/,0,0,6,-1,NaN
7,"rsunpad","2026-05-04T07:10:50.000Z","Hai, Sobat RS Unpad! Mau pindah faskes BPJS Kesehatan supaya lebih dekat dan praktis? Tenang, prosesnya mudah dan bisa kamu lakukan langsung dari rumah! 🗒️  Geser ke kanan untuk tahu langkah-langkahnya, yuk!  #BPJSKesehatan #PindahFaskes #RumahSakitUnpad  ———————————— Rumah Sakit Universitas Padjadjaran Jl. Ir. Soekarno Km. 21 Jatinangor, Sumedang 45363 WhatsApp Call Center: ‪‪+62 823-2332-0004‬‬ Saran dan Keluhan:  https://bit.ly/SarandanKeluhanRSUnpad ———————————— Instagram: @rsunpad TikTok: @rsunpad Twitter: @rsunpad",https://www.instagram.com/p/DX6GpgFEZI4/,1,0,54,-1,NaN
8,"puskesmasketapangdua","2026-06-04T11:25:56.000Z","Pemeriksaan  Kesehatan Gratis ( PKG) di hari ulang tahun adalah langkah strategis pemerintah untuk meningkatkan kesadaran masyarakat akan pentingnya kesehatan.  Ayo lakukan Pemeriksaan Kesehatan Gratis di Hari Ulang Tahun Mu  #Orang yang mengabaikan kesehatan dirinya adalah orang yang menabung masalah untuk masa depannya#",https://www.instagram.com/p/DZKYdF1O6kg/,0,0,5,-1,NaN
9,"drmichael.internist","2026-03-10T04:30:44.000Z","⚡️ “Cuma ruam biasa?” Eits… jangan salah! Bisa jadi itu herpes zoster 😱  Pernah ngerasa nyeri seperti ditusuk-tusuk atau terbakar di satu sisi tubuh… lalu muncul ruam berisi cairan? Hati-hati, itu bisa jadi cacar ular! 🐍  👀 Kenapa harus waspada? Karena herpes zoster bukan cuma soal kulit! Virusnya (reaktivasi dari cacar air) bisa menyerang saraf dan bikin nyeri hebat bahkan setelah ruam hilang 😖  🚩 Tanda-tanda yang sering muncul: • Nyeri atau sensasi terbakar di satu sisi tubuh • Ruam merah → lepuhan berisi cairan • Biasanya hanya di satu sisi (tidak menyebar ke kanan-kiri) • Bisa disertai demam atau lemas  ⚠️ Siapa yang lebih berisiko? • Usia >50 tahun • Imunitas menurun (diabetes, kanker, obat imunosupresif) • Riwayat cacar air sebelumnya  ⏰ Ingat! Semakin cepat ditangani (ideal <72 jam), semakin kecil risiko komplikasi seperti nyeri saraf kronis (post-herpetic neuralgia)  💡 Jangan tunggu parah! Kalau muncul gejala mencurigakan → segera konsultasi ke dokter  #HerpesZoster #CacarUlar #fyp #internis",https://www.instagram.com/p/DVsMXN5AEV8/,433,0,247,-1,NaN
10,"puskesmasperumdua","2026-06-23T02:36:07.000Z","🩺 Punya darah tinggi atau diabetes? Kamu WAJIB tau ini! Selama ini mikir penyakit kronis = kontrol seumur hidup yang ribet dan mahal? Ternyata ada program GRATIS dari Puskesmas yang bisa bantu kamu kelola kondisi ini dengan lebih tenang — namanya PROLANIS 🌱 Bukan cuma berobat pas sakit doang, tapi kamu bakal dapat:  ✅ Cek kesehatan rutin (gula darah, tensi)  ✅ Edukasi & konsultasi langsung sama tenaga medis  ✅ Obat & jadwal kontrol yang lebih teratur Jadi nggak ada lagi cerita lupa kontrol atau telat minum obat 💊 Yuk tonton videonya sampai habis, terus daftar Prolanis di Puskesmas terdekat! Khusus warga Sungai Beliung, langsung aja ke UPT Puskesmas Perumnas II ya 😊 Penyakit kronis bukan akhir dari segalanya — asal dikelola dengan benar, hidup tetap bisa produktif dan berkualitas! 💪 📍 UPT Puskesmas Perumnas II, Pontianak Barat  📲 Info lebih lanjut: DM kami atau langsung datang ya! .  .  .  #bpjskesehatan #KontenEdukasiJKN #Prolanis #PenyakitKronis #DiabetesAwareness #HipertensiKontrol #PuskesmasPerumnasII #PontianakSehat #JKNKIS #BPJSKesehatan #GERMAS #HidupSehat #EduFast #KesehatanMasyarakat #PontianakBarat #SehatItuPenting #KontrolRutin",https://www.instagram.com/p/DZ6W1R5yxZx/,0,0,4,-1,NaN
