index,account,postdate,tweet,link,comments,retweets,likes,views,replysource,relevance_score,veto_reason,is_indonesian,has_topic_keyword,is_relevant,borderline
1,milIkk4ng,2024-06-13T15:45:29.000Z,gila dah keluarkan dari kandang harimau suruh hantar campak ke kandang buaya pulak,https://x.com/milIkk4ng/status/1801279736296955972,0,19,241,23900,,-0.08437067,campak_as_throw,True,True,False,True
2,syahir_17,2024-06-13T08:11:57.000Z,Berani sangat ni. Nanti ada kena campak kolam buaya,https://x.com/syahir_17/status/1801165598585688422,0,0,6,5294,,-0.075979024,,True,True,False,True
3,Melati_Hani,2024-06-13T06:54:18.000Z,"Sebenarnya tanggungjawab sediakan makanan, salah satu nafkah suami ke isteri. Tapi socially, semua chores rumah di tolak dekat isteri. Why don’t during weekends buat meal prep sama2 dengan husband. Baju yg dia campak atas lantai tu, u kutip & terus buang dalam tong sampah.",https://x.com/Melati_Hani/status/1801146058711658723,3,38,245,27700,,-0.1255174,campak_as_throw,True,True,False,True
4,dieyanakhj,2024-06-13T03:26:54.000Z,"SJ is really that ""campak dalam hutan pun boleh hidup"" guys in the industry",https://x.com/dieyanakhj/status/1801093864679457226,0,5,4,767,,0.009287506,campak_as_throw,False,True,False,False
5,yeevil666,2024-06-12T05:40:45.000Z,Tgk cara dia campak bunga pun tau the King is back,https://x.com/yeevil666/status/1800765161495838995,0,0,3,138,,-0.029266357,,True,True,True,False
6,NorizaLokman,2024-06-12T05:29:20.000Z,Dia campak bunga and kitrg terus gelak. Yes Jin kita,https://x.com/NorizaLokman/status/1800762285264449612,1,0,2,209,,-0.1325808,,True,True,False,True
7,btrsyiasya,2024-06-12T02:05:15.000Z,"Orang baik macamni lah, campak dekat mana2 pun makin cantik",https://x.com/btrsyiasya/status/1800710927375126764,2,0,2,226,,-0.13302258,,True,True,False,True
8,MohdHazwannnn,2024-06-10T11:00:34.000Z,Aku ada soft spot kalau tengok budak-budak kecik main bola. Lagi-lagi bola dah lunyai. Aku bukak bonet campak sebijik bola.,https://x.com/MohdHazwannnn/status/1800120869962047886,1,1,3,201,,-0.09357746,,True,True,False,True
9,gajuspedas,2024-06-10T10:19:27.000Z,Sama jenis dgn yg campak awek siam dia dr condo aritu la ni.. semoga ada bukti,https://x.com/gajuspedas/status/1800110521913667591,0,0,2,897,,0.01224643,,False,True,False,False
10,daladom_ms,2024-06-09T12:27:01.000Z,"Asal pulak? Diaorg tu kena campak sana, kita stay sini.",https://x.com/daladom_ms/status/1799780235711529136,1,0,49,12900,,-0.19315453,,False,True,False,False
11,md_zuwairi,2024-06-08T15:52:30.000Z,"bagitau adik beradik,sedara mara,kawan2,jiran2 kamu jauhi ISRAEL PN,tolak jauh2 ZIONIS PAS dan campak keluar YAHUDI BERSATU ramai2.",https://x.com/md_zuwairi/status/1799469559872938405,0,0,2,65,,-0.052562043,,True,True,False,True
12,allebarraalleb,2024-06-08T14:57:30.000Z,Kunlavut dan kodai ni patut smua match letak last skali. Jenis main rally suka sidai fans ni elok lah campak letak hujung event. Sorry sbb geram.  #IndonesiaOpen2024,https://x.com/allebarraalleb/status/1799455720347422738,1,0,4,576,,-0.15084028,,True,True,False,True
13,rosli_ramlah,2024-06-08T01:27:55.000Z,"Manusia kurang ajar macam nie patut dibuang kerakyataan dn campak dia klr dri Msia,x thu menghormati raja2 dn prinsip Rukun Negara..",https://x.com/rosli_ramlah/status/1799251980420002136,1,1,2,26,,-0.042415738,,True,True,False,True
14,Neykann,2024-06-07T19:36:31.000Z,Masuk dia dalam guni campak balik bior dia rasa apa kucing tu rasa . Kanina punya bodoh,https://x.com/Neykann/status/1799163548171641046,0,0,0,31,,-0.24264967,,True,True,False,True
15,tattyhassan,2024-06-06T12:41:54.000Z,"Teringat masa umur i 10 tahun, jumpa a bag of kittens dalam guni, orang naik motor campak gitu je dekat jalan kecik tepi rumah i. Tengah siram pokok nampak guni gerak gerak meow meow. Manusia gila.",https://x.com/tattyhassan/status/1798696817598894184,0,120,256,38,,-0.11752861,,True,True,False,True
16,Enginena,2024-06-06T11:47:42.000Z,Yelah patut campak bag tu dulu.,https://x.com/Enginena/status/1798683177265025478,2,0,6,9877,,-0.22616167,,True,True,False,True
17,La_FarEast,2024-06-06T07:18:52.000Z,Bersatu dah kena campak bawah MRT  ke?   Awat x pakai logo PN?   Kah3 https://x.com/naszkeem/statu/naszkeem/status/1798517124065063035…,https://x.com/La_FarEast/status/1798615524412379236,4,6,9,685,,-0.04434526,,True,True,False,True
18,nabhanrpcom,2024-06-11T19:46:42.000Z,"Iya, dan segala sesuatu yang berkaitan dengan FEAR MORENGING atau PENYEBARAN KETAKUTAN adalah orang-orang berkesadaran rendah. . Menurut David Hawkins, takut berada pada medan energi fear dengan kalibrasi 100. Baik unvax maupun provax keduanya BERKESADARAN RENDAH dan .  . Bukan",https://x.com/nabhanrpcom/status/1800615664199291084,0,1,3,243,,0.07615651,,True,False,False,False
19,syaikhkhalid,2024-06-11T23:24:02.000Z,Lalu buat apa komnas kipi dibuat kalau gak ada efek samping vaksin? kayak vaksin ini cairan dari surga saja. Berpikirlah lebih cerdas jangan bersikap khianat seperti itu,https://x.com/syaikhkhalid/status/1800670356224737530,0,0,8,417,,0.13601735,,True,True,True,False
20,inorii_yuzuriha,2024-06-13T15:18:52.000Z,"Apa guna nakes dan SOP sebelum tindakan imunisasi anak? Apa perlu anak tes darah lengkap dulu, mri, ct scan sebelum vaksin?  Mana yg lebih paham menilai anak sehat siap menerima vaksin ortu atau nakes?",https://x.com/inorii_yuzuriha/status/1801273034508206318,0,2,4,317,,0.13023368,,True,True,True,False
21,jandakembang78,2024-06-12T06:44:01.000Z,Saya ga pernah bosan himbau para ortu agar tdk imunisasi anak bayi mereka.,https://x.com/jandakembang78/status/1800781083870728693,0,1,7,446,,0.17584357,,True,True,True,False
22,mr_adityason,2024-06-14T02:54:48.000Z,"Bukan nggak berempati, tp di awal kronologisnya gmn, apakah si ortu sdh menolak vaksin. Jangan di awal masa bodo, begitu kipi teriak2 minta dikawal. Bukan nggak mau nolong, tp tolong mindsetnya dibenerin dulu.",https://x.com/mr_adityason/status/1801448175255097566,1,0,2,58,,0.1362555,,True,True,True,False
23,analaranita4,2024-06-12T04:17:19.000Z,Rubella marina jajaja  JULIAN GANADOR  #ElAmorEsUniversal #LaCasaDeLosFamososCol,https://x.com/analaranita4/status/1800744164084363499,0,1,2,307,,0.08004898,,False,True,False,False
24,F83057308,2024-06-29T16:14:26.000Z,"Citer pasal pak pandir, teringat aku 1 lagu   Ada mata pandang Ada telinga dengar Ada mulut diam Ada tangan garu Ada kaki goyang. Oh puji lah aku Ampu lah aku Senang hidupmu Ada tangan tadah Ada maruah campak..  Deep lirik lagu ni...",https://x.com/F83057308/status/1807085227552252096,0,1,6,725,,-0.012312129,,True,True,True,False
