index,account,postdate,tweet,link,topic_tag,comments,retweets,likes,shares,replysource
1,ayukhoerunnisaistiqomah,2025-10-06T01:45:39.000Z,"Boleh nangis kan? Sudah 3 hari aku nemenin anakku di ruang isolasi karna campak.  Campaknya sudah komplikasi ke paru, berharap besok pulang tapi ternyata dokter bilang kemungkinan masih lama. YaAllah... rasanya lelah banget😭😭  Translate 1/2 Boleh nangis kan? Sudah 3 hari aku nemenin anakku di ruang isolasi karna campak.  Campaknya sudah komplikasi ke paru, berharap besok pulang tapi ternyata dokter bilang kemungkinan masih lama. YaAllah... rasanya lelah banget😭😭",https://www.threads.com/@ayukhoerunnisaistiqomah/post/DPcygQ1E0OE,"",67,0,1400,0,NaN
2,ceritatika25,2025-12-15T04:37:46.000Z,"Anakku panas naik turun udh 4hari Aku bawa ke puskesmas sabtu kemarin dan hasil labnya kemungkinan campak, Tapi sampe hari ini masih demam, paracetamolnya sampe udh habis blm juga turun. Wajar ga sih kalo campak apa panasnya berhari2 gini? 🥲 Aku mau bawa lagi ajaaa ga tega liatnya 1/2 Anakku panas naik turun udh 4hari Aku bawa ke puskesmas sabtu kemarin dan hasil labnya kemungkinan campak, Tapi sampe hari ini masih demam, paracetamolnya sampe udh habis blm juga turun. Wajar ga sih kalo campak apa panasnya berhari2 gini? 🥲 Aku mau bawa lagi ajaaa ga tega liatnya",https://www.threads.com/@ceritatika25/post/DSRV2F6j6O6,"",0,0,0,0,NaN
3,trecyhs,2025-04-23T09:51:22.000Z,"Disini ada ga yang pasien campak guys? Trs ada gak yang sembuh nya tuh luamaaa dehhhh sakit2 persendiannya. Butuh bgt pencerahannya nih. Mau berobat lg mager bgt. Konon ktnya ini akan sembuh sendiri. Obatnya cm vitamin. Disini ada ga yang pasien campak guys? Trs ada gak yang sembuh nya tuh luamaaa dehhhh sakit2 persendiannya. Butuh bgt pencerahannya nih. Mau berobat lg mager bgt. Konon ktnya ini akan sembuh sendiri. Obatnya cm vitamin. Ini foto pas kmrn lg sakitt campak. Cerita detailsnya ada di thread ak sebelumnya. Boleh dibaca guys. Barangkali ada yg sama. Bisa sharing2🙏🥺  Translate Ini foto pas kmrn lg sakitt campak. Cerita detailsnya ada di thread ak sebelumnya. Boleh dibaca guys. Barangkali ada yg sama. Bisa sharing2🙏🥺",https://www.threads.com/@trecyhs/post/DIyOIeJy7SC,"",0,0,0,0,NaN
4,nabidz_biotech,2025-11-11T14:18:44.000Z,"Semua anakku dapat jatah kena campak..  Alhamdulillah udah lewat fase inkubasi virusnya Strain 4800 langsung ku naikkan 5800 fase 24 jam langsung virusnya layu. Semua anakku dapat jatah kena campak..  Alhamdulillah udah lewat fase inkubasi virusnya Strain 4800 langsung ku naikkan 5800 fase 24 jam langsung virusnya layu. Konsep kerja probiotik memperbaiki pencernaan 12-24 jam apabila ada strain bukan probiotik level preventif seperti yoghurt , yakult dll ga bisa untuk represif. Konsep kerja probiotik memperbaiki pencernaan 12-24 jam apabila ada strain bukan probiotik level preventif seperti yoghurt , yakult dll ga bisa untuk represif. Selama virus patogen dll masih bisa ku handle tanpa obat obatan kimia. Kecuali malaikat izroil yg datang saya ga bisa berbuat apa2. XD  Translate Selama virus patogen dll masih bisa ku handle tanpa obat obatan kimia. Kecuali malaikat izroil yg datang saya ga bisa berbuat apa2. XD",https://www.threads.com/@nabidz_biotech/post/DQ61TgpEkPa,"",0,0,0,0,NaN
5,halodoc,2025-11-30T10:26:58.000Z,"halodocVerified 🚨 BREAKING NEWS: KASUS CAMPAK MELONJAK, BAYI & ANAK PALING TERDAMPAK! 🚨 BREAKING NEWS: KASUS CAMPAK MELONJAK, BAYI & ANAK PALING TERDAMPAK! Kasus campak kembali meningkat dan penularannya sangat cepat, terutama pada bayi dan anak yang belum mendapat vaksin. Virus campak ini bisa bertahan hingga 2 jam di udara sehingga campak termasuk salah satu penyakit paling menular.  Translate 1/3 Kasus campak kembali meningkat dan penularannya sangat cepat, terutama pada bayi dan anak yang belum mendapat vaksin. Virus campak ini bisa bertahan hingga 2 jam di udara sehingga campak termasuk salah satu penyakit paling menular.",https://www.threads.com/@halodoc/post/DRrV4odkntc,"",0,0,0,0,NaN
6,dwndri7,2025-11-29T09:10:23.000Z,"Ada yg lg suka camping juga ga, yuk mutualan🥰 1/2 Ada yg lg suka camping juga ga, yuk mutualan🥰",https://www.threads.com/@dwndri7/post/DRooU2NCd8f,"camping",0,0,0,0,NaN
7,folkkonoha,2025-02-23T16:04:57.000Z,"folkkonohaVerified Ya lagian sih ahh 😭 Ya lagian sih ahh 😭 🎥 : almera.adventure_ 🎥 : almera.adventure_",https://www.threads.com/@folkkonoha/post/DGa9-9SyJwy,"",3000,0,4400,0,NaN
8,dr.kartikaeda.sp.a,2025-11-24T16:22:55.000Z,"dr.kartikaeda.sp.aVerified 9 tahun jd dokter, 3 tahun jadi dokter anak, ga pernah nemu kasus campak sebanyak ini.. 🤢🤢 Dan parahnya banyak juga pasien campak saya masih bayi2 ( 5-6 bulan), yang memang belum waktunya vaksin (vaksin pertama umur 9 bulan). Sudah pasti, otomatis, mereka kelompok usia yang paling rentan tertular. 9 tahun jd dokter, 3 tahun jadi dokter anak, ga pernah nemu kasus campak sebanyak ini.. 🤢🤢 Dan parahnya banyak juga pasien campak saya masih bayi2 ( 5-6 bulan), yang memang belum waktunya vaksin (vaksin pertama umur 9 bulan). Sudah pasti, otomatis, mereka kelompok usia yang paling rentan tertular. Dan tau kah teman2, bayi yang kena campak, risiko fatalnya jauh lebih tinggi daripada anak yg lebih besar?  Translate 1/2 Dan tau kah teman2, bayi yang kena campak, risiko fatalnya jauh lebih tinggi daripada anak yg lebih besar?",https://www.threads.com/@dr.kartikaeda.sp.a/post/DRch2ZLknBR,"",281,0,1900,0,NaN
9,windyafikaa,2025-12-12T12:20:40.000Z,"ada yg suka camping ?? temenan yuu…. ada yg suka camping ?? temenan yuu….",https://www.threads.com/@windyafikaa/post/DSKcb4zAfGp,"campinglife",0,0,0,0,NaN
10,ricsnt,2025-05-20T11:54:29.000Z,"ricsntVerified Camping sendirian dihutan 2 hari Camping sendirian dihutan 2 hari Tenda & alat camp @coodytenda.id Tenda & alat camp @coodytenda.id #camping #outdoors  Translate #camping #outdoors",https://www.threads.com/@ricsnt/post/DJ39rlESXlc,"",0,0,0,0,NaN
11,herdysant,2025-07-12T15:19:13.000Z,"Yg hobi camping pasti relate. Maaf kalo nanti ada yg tersinggung. Kenapa ya kalo lagi di tempat camping, yg suka berisik dan karaokean pake sound itu mayoritas yg gear campingnya yg murah. Sedangkan para campers yg gearnya premium macem naturhike, alltrek, blackdog orangnya selow, kalem, dan gak berisik.  Translate Yg hobi camping pasti relate. Maaf kalo nanti ada yg tersinggung. Kenapa ya kalo lagi di tempat camping, yg suka berisik dan karaokean pake sound itu mayoritas yg gear campingnya yg murah. Sedangkan para campers yg gearnya premium macem naturhike, alltrek, blackdog orangnya selow, kalem, dan gak berisik.",https://www.threads.com/@herdysant/post/DMAzPwlSuJx,"camping",0,0,0,0,NaN
12,houseeing_home,2025-07-12T23:54:01.000Z,"Premium bukannya yg TNF, Lafuma, Mountain Gear, Gregory, Osprey dll kyk gitu bang? Premium bukannya yg TNF, Lafuma, Mountain Gear, Gregory, Osprey dll kyk gitu bang?",https://www.threads.com/@houseeing_home/post/DMBuKMCzI1R,"",0,0,0,0,NaN
13,rumah.berkala,2025-10-10T08:32:50.000Z,"rumah.berkalaVerified Ide camping depan rumah ✨  Translate Ide camping depan rumah ✨",https://www.threads.com/@rumah.berkala/post/DPn0NeciUk_,"",0,0,0,0,NaN
14,azizahannah,2025-01-27T08:08:57.000Z,"azizahannahVerified Kaya gini loh kalau aku ngajak camping tuh! Tenang dan estetik 🥰 . . #camping #campinglife Kaya gini loh kalau aku ngajak camping tuh! Tenang dan estetik 🥰 . . #camping #campinglife",https://www.threads.com/@azizahannah/post/DFUmDJ9TL3e,"",0,0,0,0,NaN
15,pak_kop_2011,2025-09-14T13:57:47.000Z,"Ketemu Om Kumis Ketemu Om Kumis",https://www.threads.com/@pak_kop_2011/post/DOlczMRjKcW,"",0,0,0,0,NaN
16,dynnhrr,2025-12-25T06:14:21.000Z,"Kemana kitaa  Translate Kemana kitaa",https://www.threads.com/@dynnhrr/post/DSrQ2QtAVXG,"",0,0,0,0,NaN
