week,positive,neutral,negative
2021-12-13,0,4,0
2021-12-27,0,1,0
2022-01-03,1,0,0
2022-01-17,1,1,0
2023-07-17,0,0,3
2023-08-21,2,7,4
2024-02-05,1,4,0
2024-05-13,4,9,5
2024-06-03,0,1,0
2024-06-10,0,2,6
2024-06-17,1,1,5
2024-06-24,4,1,9
2024-07-08,0,2,3
2024-07-15,0,5,1
2024-07-22,0,2,7
2024-07-29,3,6,1
2024-08-05,0,5,0
2024-08-12,6,13,24
2024-08-19,3,7,19
2024-08-26,0,2,20
2024-09-02,5,9,20
2024-09-09,6,5,15
2024-09-16,1,15,18
2024-09-23,1,9,3
2024-10-07,0,8,5
2024-10-14,1,5,7
2024-10-21,11,23,24
2024-10-28,3,31,47
2024-11-04,9,7,13
2024-11-11,4,8,3
2024-11-18,16,13,12
2024-12-02,0,0,16
2024-12-09,3,10,7
2024-12-16,5,2,12
2024-12-23,0,0,7
2024-12-30,2,6,17
2025-01-06,12,15,30
2025-01-13,0,10,5
2025-01-20,1,0,21
2025-01-27,0,2,0
2025-02-03,0,0,11
2025-02-10,2,1,0
2025-02-17,0,5,11
2025-02-24,2,3,12
2025-03-03,2,8,11
2025-03-10,4,4,12
2025-03-17,3,7,17
2025-03-24,3,5,21
2025-03-31,1,2,3
2025-04-14,0,4,1
2025-04-21,3,10,18
2025-04-28,0,0,16
2025-05-05,5,10,57
2025-05-12,1,13,21
2025-05-19,6,26,42
2025-05-26,1,3,16
2025-06-02,0,0,5
2025-06-09,2,10,27
2025-06-16,0,10,20
2025-06-23,0,17,15
2025-06-30,3,5,29
2025-07-07,18,34,23
2025-07-14,7,6,32
2025-07-21,3,3,2
2025-07-28,23,23,42
2025-08-04,6,24,19
2025-08-11,3,5,2
2025-08-18,21,31,25
2025-08-25,14,25,40
2025-09-01,1,9,14
2025-09-08,9,6,7
2025-09-15,2,40,44
2025-09-22,12,19,47
2025-09-29,15,45,24
2025-10-06,7,13,67
2025-10-13,15,15,19
2025-10-20,6,20,28
2025-10-27,12,28,8
2025-11-03,15,16,25
2025-11-10,1,8,69
2025-11-17,6,7,29
2025-11-24,7,12,55
2025-12-01,11,12,2
2025-12-08,4,36,45
2025-12-15,6,14,34
2025-12-22,6,19,33
2025-12-29,13,29,49
2026-01-05,17,39,78
2026-01-12,27,20,79
2026-01-19,12,20,61
2026-01-26,12,25,31
2026-02-02,27,31,116
2026-02-09,43,103,152
2026-02-16,39,73,228
2026-02-23,24,87,92
2026-03-02,116,137,647
2026-03-09,24,91,235
2026-03-16,21,47,131
2026-03-23,13,35,104
2026-03-30,24,67,82
2026-04-06,18,56,96
2026-04-13,46,111,119
2026-04-20,31,60,75
2026-04-27,34,59,72
2026-05-04,48,88,171
2026-05-11,26,76,123
2026-05-18,22,63,50
2026-05-25,25,63,128
2026-06-01,32,87,153
2026-06-08,38,110,85
2026-06-15,111,210,145
2026-06-22,99,194,206
2026-06-29,68,195,158
2026-07-06,70,237,179
2026-07-13,73,191,142
